Date,UCTid,Labno,Species,Sex,daystat,sample.mass,ethanol,Faecal glucocorticoid metabolite concentrations,qual,time,ampm,foot.traf.am,foot.traf.noon,foot.traf.pm,foot.traf.mean,birdID,day,calendar,observer,south,east,freezer,freeze.lag,potential.lab.no.issue,fruit,tube.campus,cons.campus,fieldnotes,labnotes
2021/04/11,MT121,73,Red-winged starling,M,NH,0.0514,1.5,0.121605058,ok,10:21:00 AM,am,24,36,,30,XXXX,Sun,Term,Mila,-33.957637,18.4610598,0.452777778,0.021527778,n,y,0.121605058,0.121605058,Mostly fruit. Also large runny component I couldn't collect,
2021/04/11,MT123,74,Red-winged starling,M,NH,0.0509,1.5,0.040108055,ok,10:47:00 AM,am,24,36,,30,XXXX,Sun,Term,Mila,-33.957637,18.4610598,0.452777778,0.003472222,n,n,0.040108055,0.040108055,,
2021/04/04,MT82,75,Red-winged starling,M,NH,0.053,1.5,0.031245283,ok,8:57:00 AM,am,0,24,80,34.66666667,VMOO,Sun,Term,Mila,-33.95902,18.4595167,0.45625,0.083333333,n,n,0.031245283,0.031245283,,
2021/04/04,MT81,76,Red-winged starling,F,NH,0.0515,1.5,0.06215534,ok,8:54:00 AM,am,0,24,80,34.66666667,OMWY,Sun,Term,Mila,-33.95856,18.45956,0.45625,0.085416667,n,n,0.06215534,0.06215534,,
2021/03/30,MT60,77,Red-winged starling,F,H,0.0543,1.5,0.051325967,ok,3:40:00 PM,pm,252,576,372,400,XXXX,Tues,Term,Mila,-33.95509449,18.46068978,0.715277778,0.0625,n,n,0.051325967,0.051325967,,
2021/04/04,MT91,78,Red-winged starling,M,NH,0.0409,1.5,0.062347188,ok,10:31:00 AM,am,0,24,80,34.66666667,GMOP,Sun,Term,Mila,-33.9575865,18.4610358,0.45625,0.018055556,n,n,0.062347188,0.062347188,,
2021/04/13,MT150,79,Red-winged starling,M,H,0.0528,1.5,0.033579545,ok,4:09:00 PM,pm,340,720,768,609.3333333,XXXX,Tues,Term,Mila,-33.9578817,18.4607933,0.698611111,0.025694444,n,n,0.033579545,0.033579545,,
2021/04/11,MT111,83,Red-winged starling,J,NH,0.023,0.5,0.091521739,ok,9:00:00 AM,am,24,36,,30,XXXX,Sun,Term,Mila,-33.9560183,18.4613483,0.452777778,0.077777778,n,n,0.091521739,0.091521739,,
2021/04/11,MT116,84,Red-winged starling,J,NH,0.0271,1,0.03298893,ok,9:50:00 AM,am,24,36,,30,XXXX,Sun,Term,Mila,-33.9560598,18.4608824,0.452777778,0.043055556,n,n,0.03298893,0.03298893,,
2021/04/13,MT151,86,Red-winged starling,M,H,0.0534,1.5,0.050477528,ok,3:50:00 PM,pm,340,720,768,609.3333333,PMPG,Tues,Term,Mila,-33.9578817,18.4607933,0.698611111,0.038888889,n,n,0.050477528,0.050477528,,
2021/04/13,MT149,88,Red-winged starling,M,H,0.0513,1.5,0.040131579,ok,4:03:00 PM,pm,340,720,768,609.3333333,XXXX,Tues,Term,Mila,-33.9578817,18.4607933,0.698611111,0.029861111,n,n,0.040131579,0.040131579,,
2021/04/11,MT117,89,Red-winged starling,J,NH,0.045,1.5,0.082,ok,9:50:00 AM,am,24,36,,30,XXXX,Sun,Term,Mila,-33.9560598,18.4608824,0.452777778,0.043055556,n,n,0.082,0.082,,
2021/04/11,MT113,90,Red-winged starling,F,NH,0.0518,1.5,0.065675676,ok,9:33:00 AM,am,24,36,,30,VMRR,Sun,Term,Mila,-33.9560598,18.4608824,0.452777778,0.054861111,n,n,0.065675676,0.065675676,,
2021/04/11,MT119,91,Red-winged starling,J,NH,0.0529,1.5,0.021096408,ok,9:50:00 AM,am,24,36,,30,XXXX,Sun,Term,Mila,-33.9560598,18.4608824,0.452777778,0.043055556,n,n,0.021096408,0.021096408,From a large group of unringed  juveniles. All produced 9:44-9:55. Some sexable but can't assign specific samples to specific individuals,
2021/04/04,MT84,93,Red-winged starling,M,NH,0.0427,1.5,0.02293911,ok,9:25:00 AM,am,0,24,80,34.66666667,XXXX,Sun,Term,Mila,-33.9599769,18.459355,0.45625,0.063888889,n,n,0.02293911,0.02293911,Kaplan?,
